label,one,two,three,four,five,six,seven,label_bracket,index
14,(,3,-,1,),*,7,1,27272
2,(,4,+,3,),-,5,1,27273
9,3,*,2,+,3,,,0,27274
-9,0,*,1,-,9,,,0,27275
-4,1,-,(,5,+,0,),1,27276
-2,3,-,(,8,-,3,),1,27277
42,6,*,(,7,*,1,),1,27278
-6,(,4,-,5,),*,6,1,27279
18,(,4,*,5,),-,2,1,27280
16,4,+,(,3,*,4,),1,27281
2,8,-,1,-,5,,,0,27282
79,7,+,8,*,9,,,0,27283
84,(,3,*,7,),*,4,1,27284
21,5,+,8,*,2,,,0,27285
-6,2,-,(,7,+,1,),1,27286
100,4,*,5,*,5,,,0,27287
2,6,+,(,1,-,5,),1,27288
54,5,+,7,*,7,,,0,27289
-4,0,-,6,+,2,,,0,27290
52,8,*,7,-,4,,,0,27291
5,5,+,4,-,4,,,0,27292
28,(,7,-,0,),*,4,1,27293
16,(,5,+,6,),+,5,1,27294
34,2,+,(,8,*,4,),1,27295
8,4,+,2,*,2,,,0,27296
13,(,9,+,6,),-,2,1,27297
4,3,+,2,-,1,,,0,27298
35,5,+,(,5,*,6,),1,27299
3,(,5,-,4,),+,2,1,27300
0,4,-,4,-,0,,,0,27301
21,(,3,+,0,),*,7,1,27302
3,3,-,(,0,*,5,),1,27303
3,2,*,3,-,3,,,0,27304
16,1,*,(,8,*,2,),1,27305
112,7,*,(,8,*,2,),1,27306
42,(,5,+,1,),*,7,1,27307
7,9,-,(,1,+,1,),1,27308
64,8,+,8,*,7,,,0,27309
-4,4,-,5,-,3,,,0,27310
7,6,+,(,1,-,0,),1,27311
-9,7,-,8,*,2,,,0,27312
-56,(,0,-,7,),*,8,1,27313
12,1,*,(,4,+,8,),1,27314
3,3,+,5,-,5,,,0,27315
13,8,-,4,+,9,,,0,27316
0,7,*,(,2,*,0,),1,27317
-10,5,*,(,3,-,5,),1,27318
60,4,*,(,5,*,3,),1,27319
-17,0,-,8,-,9,,,0,27320
-1,1,+,(,7,-,9,),1,27321
14,4,*,3,+,2,,,0,27322
0,1,+,5,-,6,,,0,27323
4,1,-,3,+,6,,,0,27324
-3,6,-,(,3,+,6,),1,27325
14,6,+,9,-,1,,,0,27326
-4,0,-,(,7,-,3,),1,27327
45,(,3,+,2,),*,9,1,27328
2,2,-,0,*,8,,,0,27329
32,0,+,4,*,8,,,0,27330
0,(,7,-,8,),*,0,1,27331
-24,3,*,(,0,-,8,),1,27332
0,7,-,7,-,0,,,0,27333
55,1,+,(,6,*,9,),1,27334
10,5,+,8,-,3,,,0,27335
72,(,6,*,4,),*,3,1,27336
-3,(,1,-,8,),+,4,1,27337
36,(,6,+,0,),*,6,1,27338
-7,4,-,6,-,5,,,0,27339
-7,(,2,*,1,),-,9,1,27340
0,(,9,-,7,),-,2,1,27341
17,8,*,3,-,7,,,0,27342
45,(,9,-,4,),*,9,1,27343
12,1,*,8,+,4,,,0,27344
-1,4,-,5,+,0,,,0,27345
7,3,+,1,+,3,,,0,27346
-9,(,3,*,0,),-,9,1,27347
81,0,+,9,*,9,,,0,27348
-8,(,1,-,0,),-,9,1,27349
63,9,*,(,3,+,4,),1,27350
0,4,*,0,-,0,,,0,27351
19,4,*,6,-,5,,,0,27352
-2,4,-,3,*,2,,,0,27353
5,(,4,+,1,),*,1,1,27354
29,3,*,7,+,8,,,0,27355
0,(,4,-,3,),-,1,1,27356
32,8,*,3,+,8,,,0,27357
5,2,-,(,3,-,6,),1,27358
36,(,3,+,6,),*,4,1,27359
6,5,-,(,0,-,1,),1,27360
53,(,9,*,5,),+,8,1,27361
27,2,+,5,*,5,,,0,27362
10,(,3,-,2,),+,9,1,27363
240,6,*,8,*,5,,,0,27364
28,(,5,*,6,),-,2,1,27365
0,0,*,(,1,+,0,),1,27366
1,(,9,-,8,),*,1,1,27367
0,(,0,+,0,),*,5,1,27368
0,0,*,(,9,-,6,),1,27369
-4,(,8,-,9,),*,4,1,27370
9,6,-,(,2,-,5,),1,27371
65,(,7,*,9,),+,2,1,27372
-16,4,-,4,*,5,,,0,27373
3,3,-,0,*,6,,,0,27374
1,1,+,(,8,-,8,),1,27375
9,(,8,+,1,),*,1,1,27376
48,8,*,(,6,+,0,),1,27377
32,(,4,+,4,),*,4,1,27378
23,7,+,(,4,*,4,),1,27379
-36,(,2,-,6,),*,9,1,27380
18,(,3,+,9,),+,6,1,27381
8,2,+,4,+,2,,,0,27382
7,(,5,*,0,),+,7,1,27383
-48,8,*,(,1,-,7,),1,27384
35,(,0,+,5,),*,7,1,27385
0,(,0,*,9,),*,0,1,27386
1,(,0,-,7,),+,8,1,27387
8,7,+,3,-,2,,,0,27388
-20,(,2,-,6,),*,5,1,27389
23,(,3,*,5,),+,8,1,27390
23,9,+,5,+,9,,,0,27391
126,(,3,*,7,),*,6,1,27392
27,9,*,(,2,+,1,),1,27393
28,2,*,(,6,+,8,),1,27394
18,3,+,6,+,9,,,0,27395
-7,0,-,1,-,6,,,0,27396
16,7,+,6,+,3,,,0,27397
-2,2,-,2,*,2,,,0,27398
11,4,+,(,4,+,3,),1,27399
-7,5,-,9,-,3,,,0,27400
42,3,*,(,2,*,7,),1,27401
-40,(,4,-,9,),*,8,1,27402
8,8,+,0,*,1,,,0,27403
64,(,7,*,8,),+,8,1,27404
0,(,9,-,8,),*,0,1,27405
15,5,*,2,+,5,,,0,27406
56,(,8,*,1,),*,7,1,27407
36,9,*,2,*,2,,,0,27408
0,3,+,5,-,8,,,0,27409
17,(,9,+,8,),+,0,1,27410
8,7,-,(,1,-,2,),1,27411
81,(,2,+,7,),*,9,1,27412
-6,7,-,(,5,+,8,),1,27413
0,3,*,0,*,8,,,0,27414
1,1,-,(,9,-,9,),1,27415
63,(,9,+,0,),*,7,1,27416
8,4,*,3,-,4,,,0,27417
-2,5,-,3,-,4,,,0,27418
-10,(,1,-,3,),*,5,1,27419
10,6,-,4,+,8,,,0,27420
7,(,8,+,0,),-,1,1,27421
14,8,-,(,0,-,6,),1,27422
6,(,7,*,0,),+,6,1,27423
4,(,1,+,8,),-,5,1,27424
0,(,6,-,8,),+,2,1,27425
-10,4,-,6,-,8,,,0,27426
44,(,3,+,8,),*,4,1,27427
2,1,+,(,5,-,4,),1,27428
46,1,+,(,5,*,9,),1,27429
-9,0,-,(,4,+,5,),1,27430
21,(,9,+,8,),+,4,1,27431
1,5,-,5,+,1,,,0,27432
13,(,5,-,0,),+,8,1,27433
11,6,+,(,5,-,0,),1,27434
22,(,5,*,6,),-,8,1,27435
13,(,0,+,8,),+,5,1,27436
17,5,+,(,6,+,6,),1,27437
29,5,+,8,*,3,,,0,27438
7,1,*,(,7,*,1,),1,27439
90,5,*,3,*,6,,,0,27440
84,7,*,6,*,2,,,0,27441
3,9,*,0,+,3,,,0,27442
11,(,3,+,7,),+,1,1,27443
-11,2,-,(,4,+,9,),1,27444
16,2,*,(,8,+,0,),1,27445
-1,(,5,-,8,),+,2,1,27446
45,5,*,(,1,+,8,),1,27447
-2,1,-,(,3,*,1,),1,27448
-5,4,-,(,1,*,9,),1,27449
2,(,8,-,3,),-,3,1,27450
9,(,9,+,0,),*,1,1,27451
-11,0,-,3,-,8,,,0,27452
9,(,7,+,4,),-,2,1,27453
6,8,+,0,-,2,,,0,27454
2,3,-,(,1,-,0,),1,27455
26,6,*,3,+,8,,,0,27456
3,4,-,(,3,-,2,),1,27457
6,9,-,(,1,*,3,),1,27458
17,(,9,+,6,),+,2,1,27459
24,8,*,(,3,-,0,),1,27460
13,5,+,(,5,+,3,),1,27461
3,4,+,(,4,-,5,),1,27462
7,6,-,(,3,-,4,),1,27463
-16,(,4,-,8,),*,4,1,27464
-5,(,3,-,8,),-,0,1,27465
-9,(,3,*,0,),-,9,1,27466
-3,2,-,0,-,5,,,0,27467
32,8,*,4,-,0,,,0,27468
32,(,4,*,1,),*,8,1,27469
10,7,+,1,+,2,,,0,27470
1,1,*,(,3,-,2,),1,27471
2,4,-,4,+,2,,,0,27472
3,5,-,7,+,5,,,0,27473
189,(,7,*,3,),*,9,1,27474
3,0,+,(,4,-,1,),1,27475
4,2,+,5,-,3,,,0,27476
84,3,*,(,4,*,7,),1,27477
-5,1,+,2,-,8,,,0,27478
-11,9,-,5,*,4,,,0,27479
6,(,5,-,4,),*,6,1,27480
15,(,2,*,4,),+,7,1,27481
8,3,-,3,+,8,,,0,27482
2,8,-,(,7,-,1,),1,27483
-4,2,-,8,+,2,,,0,27484
19,7,+,4,+,8,,,0,27485
-3,4,-,(,1,*,7,),1,27486
0,0,*,6,*,5,,,0,27487
54,(,7,+,2,),*,6,1,27488
-5,(,0,-,7,),+,2,1,27489
2,(,7,*,0,),+,2,1,27490
5,5,+,0,+,0,,,0,27491
42,2,*,7,*,3,,,0,27492
21,7,*,(,2,+,1,),1,27493
-5,5,*,(,3,-,4,),1,27494
-9,8,-,(,8,+,9,),1,27495
54,(,9,+,0,),*,6,1,27496
-18,6,*,(,5,-,8,),1,27497
5,1,-,4,+,8,,,0,27498
-1,1,*,(,7,-,8,),1,27499
1,8,+,(,1,-,8,),1,27500
3,(,5,*,0,),+,3,1,27501
36,1,+,7,*,5,,,0,27502
19,4,+,6,+,9,,,0,27503
-1,1,+,7,-,9,,,0,27504
54,6,*,3,*,3,,,0,27505
32,4,*,6,+,8,,,0,27506
-12,(,4,-,7,),-,9,1,27507
9,(,7,-,7,),+,9,1,27508
1,(,1,+,6,),-,6,1,27509
7,(,6,-,6,),+,7,1,27510
25,(,6,*,5,),-,5,1,27511
16,2,*,8,*,1,,,0,27512
4,2,*,6,-,8,,,0,27513
-5,(,2,*,0,),-,5,1,27514
90,9,*,(,7,+,3,),1,27515
10,3,+,(,7,+,0,),1,27516
17,5,*,4,-,3,,,0,27517
7,(,0,*,6,),+,7,1,27518
28,3,*,7,+,7,,,0,27519
9,(,4,+,5,),-,0,1,27520
-8,4,-,(,3,*,4,),1,27521
20,(,0,+,4,),*,5,1,27522
6,4,+,2,-,0,,,0,27523
60,9,*,6,+,6,,,0,27524
32,1,*,(,8,*,4,),1,27525
-7,3,-,(,2,*,5,),1,27526
19,(,8,+,5,),+,6,1,27527
-12,(,3,-,7,),-,8,1,27528
4,9,+,3,-,8,,,0,27529
84,(,5,+,7,),*,7,1,27530
-16,8,-,(,4,*,6,),1,27531
-7,3,-,(,1,+,9,),1,27532
57,3,+,6,*,9,,,0,27533
5,8,+,(,6,-,9,),1,27534
15,8,-,(,1,-,8,),1,27535
63,(,9,*,7,),+,0,1,27536
-7,(,6,-,6,),-,7,1,27537
35,3,+,(,8,*,4,),1,27538
270,(,6,*,5,),*,9,1,27539
0,(,9,-,2,),-,7,1,27540
-2,1,-,(,5,-,2,),1,27541
0,(,0,*,7,),*,7,1,27542
81,9,*,(,1,+,8,),1,27543
29,9,+,(,4,*,5,),1,27544
4,(,8,-,5,),+,1,1,27545
0,(,3,+,5,),-,8,1,27546
56,6,*,8,+,8,,,0,27547
5,7,-,(,4,-,2,),1,27548
2,1,-,1,+,2,,,0,27549
8,1,+,(,7,-,0,),1,27550
7,(,3,+,2,),+,2,1,27551
18,1,*,(,9,*,2,),1,27552
0,(,9,-,0,),*,0,1,27553
0,5,+,(,2,-,7,),1,27554
25,9,+,9,+,7,,,0,27555
1,(,8,-,0,),-,7,1,27556
-7,2,-,(,1,*,9,),1,27557
20,2,+,(,2,*,9,),1,27558
216,9,*,4,*,6,,,0,27559
-6,1,-,7,*,1,,,0,27560
0,9,*,(,1,*,0,),1,27561
72,9,*,(,4,*,2,),1,27562
17,9,+,(,9,-,1,),1,27563
-16,(,6,-,8,),*,8,1,27564
3,3,-,(,8,*,0,),1,27565
1,3,+,(,2,-,4,),1,27566
6,1,*,(,4,+,2,),1,27567
-1,6,*,0,-,1,,,0,27568
-10,8,-,(,9,*,2,),1,27569
7,2,-,3,+,8,,,0,27570
-8,2,-,3,-,7,,,0,27571
10,0,+,7,+,3,,,0,27572
12,(,9,+,0,),+,3,1,27573
0,0,*,(,7,+,5,),1,27574
8,8,-,(,0,*,3,),1,27575
10,2,+,(,3,+,5,),1,27576
13,(,2,*,8,),-,3,1,27577
9,(,4,+,9,),-,4,1,27578
15,8,+,7,*,1,,,0,27579
8,9,-,1,*,1,,,0,27580
11,(,8,*,2,),-,5,1,27581
-5,1,-,6,-,0,,,0,27582
-8,3,-,6,-,5,,,0,27583
15,(,7,+,0,),+,8,1,27584
0,(,1,-,1,),*,6,1,27585
4,4,*,(,4,-,3,),1,27586
64,1,*,(,8,*,8,),1,27587
8,8,+,(,0,*,5,),1,27588
9,8,+,5,-,4,,,0,27589
-5,(,1,+,2,),-,8,1,27590
-2,(,7,-,3,),-,6,1,27591
25,(,4,*,6,),+,1,1,27592
11,9,*,1,+,2,,,0,27593
8,8,-,1,+,1,,,0,27594
16,1,*,(,9,+,7,),1,27595
60,(,6,+,9,),*,4,1,27596
-17,1,-,9,*,2,,,0,27597
6,9,+,(,3,-,6,),1,27598
12,4,+,(,5,+,3,),1,27599
8,0,+,1,*,8,,,0,27600
-5,0,+,(,1,-,6,),1,27601
-46,8,-,9,*,6,,,0,27602
-6,(,6,-,9,),-,3,1,27603
0,(,5,*,7,),*,0,1,27604
8,5,+,6,-,3,,,0,27605
11,(,4,+,8,),-,1,1,27606
1,1,-,7,+,7,,,0,27607
-2,(,2,-,0,),-,4,1,27608
17,6,+,8,+,3,,,0,27609
0,0,+,8,-,8,,,0,27610
-59,4,-,7,*,9,,,0,27611
36,6,*,7,-,6,,,0,27612
-9,5,-,2,*,7,,,0,27613
0,(,0,*,3,),*,8,1,27614
37,8,*,5,-,3,,,0,27615
49,(,0,+,7,),*,7,1,27616
14,6,+,2,+,6,,,0,27617
14,2,+,9,+,3,,,0,27618
-6,6,*,(,2,-,3,),1,27619
14,2,*,(,7,-,0,),1,27620
0,(,5,-,5,),*,4,1,27621
35,5,*,(,2,+,5,),1,27622
-6,1,-,7,-,0,,,0,27623
15,8,+,3,+,4,,,0,27624
-2,0,*,1,-,2,,,0,27625
15,9,+,(,0,+,6,),1,27626
10,(,2,+,8,),-,0,1,27627
0,(,3,+,3,),*,0,1,27628
2,1,*,(,0,+,2,),1,27629
-8,1,-,5,-,4,,,0,27630
-6,4,*,0,-,6,,,0,27631
1,0,+,6,-,5,,,0,27632
37,4,*,7,+,9,,,0,27633
-2,(,4,*,1,),-,6,1,27634
-4,1,-,(,5,*,1,),1,27635
-5,0,+,3,-,8,,,0,27636
9,1,-,(,0,-,8,),1,27637
0,0,*,(,5,+,7,),1,27638
8,0,+,1,*,8,,,0,27639
64,1,+,(,7,*,9,),1,27640
-1,4,-,7,+,2,,,0,27641
50,5,+,(,9,*,5,),1,27642
0,(,8,-,8,),*,7,1,27643
2,5,-,(,3,-,0,),1,27644
7,8,+,6,-,7,,,0,27645
3,5,-,(,3,-,1,),1,27646
15,(,7,+,6,),+,2,1,27647
9,0,+,(,9,+,0,),1,27648
11,(,8,-,3,),+,6,1,27649
45,5,*,(,9,-,0,),1,27650
0,(,4,+,1,),-,5,1,27651
-49,7,-,(,7,*,8,),1,27652
16,(,4,+,9,),+,3,1,27653
3,5,-,2,*,1,,,0,27654
13,4,+,(,5,+,4,),1,27655
6,(,8,+,7,),-,9,1,27656
126,(,7,*,3,),*,6,1,27657
16,4,+,(,6,*,2,),1,27658
14,7,*,(,6,-,4,),1,27659
3,(,7,*,0,),+,3,1,27660
-6,(,0,-,9,),+,3,1,27661
-8,(,4,-,4,),-,8,1,27662
-5,(,6,-,9,),-,2,1,27663
4,(,3,*,3,),-,5,1,27664
3,(,2,*,4,),-,5,1,27665
112,(,7,*,8,),*,2,1,27666
14,(,1,+,6,),*,2,1,27667
-3,5,*,1,-,8,,,0,27668
4,2,*,6,-,8,,,0,27669
-1,5,-,1,-,5,,,0,27670
-13,(,1,-,7,),-,7,1,27671
50,2,+,6,*,8,,,0,27672
18,2,*,(,1,*,9,),1,27673
10,2,*,5,*,1,,,0,27674
-9,(,0,-,1,),-,8,1,27675
12,(,3,-,1,),*,6,1,27676
162,3,*,(,6,*,9,),1,27677
7,5,+,5,-,3,,,0,27678
7,7,+,(,2,*,0,),1,27679
27,0,+,9,*,3,,,0,27680
3,1,-,(,7,-,9,),1,27681
20,(,8,+,9,),+,3,1,27682
4,(,3,-,5,),+,6,1,27683
16,(,3,*,7,),-,5,1,27684
17,2,+,(,6,+,9,),1,27685
6,(,4,*,3,),-,6,1,27686
-4,(,1,-,5,),+,0,1,27687
0,5,+,(,1,-,6,),1,27688
-1,(,8,-,9,),*,1,1,27689
0,(,0,*,0,),*,2,1,27690
25,(,7,*,4,),-,3,1,27691
-10,1,-,2,-,9,,,0,27692
126,9,*,(,9,+,5,),1,27693
4,3,-,0,+,1,,,0,27694
7,4,+,(,3,+,0,),1,27695
9,2,+,(,0,+,7,),1,27696
144,9,*,(,9,+,7,),1,27697
12,2,+,(,1,+,9,),1,27698
5,9,+,0,-,4,,,0,27699
6,8,+,0,-,2,,,0,27700
4,(,0,*,5,),+,4,1,27701
13,(,9,-,0,),+,4,1,27702
9,(,1,+,2,),+,6,1,27703
-3,(,2,-,5,),*,1,1,27704
8,(,8,+,9,),-,9,1,27705
25,4,*,6,+,1,,,0,27706
-2,8,-,4,-,6,,,0,27707
5,5,+,5,*,0,,,0,27708
15,(,8,+,0,),+,7,1,27709
-3,3,-,3,-,3,,,0,27710
0,(,1,-,1,),*,7,1,27711
15,3,+,(,2,*,6,),1,27712
108,(,9,*,3,),*,4,1,27713
0,(,3,-,3,),*,3,1,27714
-4,(,0,-,4,),*,1,1,27715
64,1,+,9,*,7,,,0,27716
14,5,-,(,0,-,9,),1,27717
69,(,7,*,9,),+,6,1,27718
0,(,4,-,4,),-,0,1,27719
20,(,2,*,6,),+,8,1,27720
12,2,+,5,*,2,,,0,27721
-8,1,-,(,9,-,0,),1,27722
0,(,3,-,3,),*,5,1,27723
3,(,9,-,6,),-,0,1,27724
11,0,+,(,7,+,4,),1,27725
23,3,*,9,-,4,,,0,27726
20,9,*,2,+,2,,,0,27727
12,2,*,(,6,-,0,),1,27728
10,4,+,(,1,*,6,),1,27729
6,(,0,*,7,),+,6,1,27730
-8,(,1,-,7,),-,2,1,27731
60,6,*,(,4,+,6,),1,27732
7,(,9,-,5,),+,3,1,27733
48,4,*,(,6,*,2,),1,27734
44,(,4,*,9,),+,8,1,27735
4,5,*,0,+,4,,,0,27736
60,(,6,*,2,),*,5,1,27737
1,1,+,6,*,0,,,0,27738
15,(,7,+,8,),-,0,1,27739
23,(,4,*,6,),-,1,1,27740
-5,3,-,(,0,+,8,),1,27741
34,(,6,*,7,),-,8,1,27742
0,5,-,5,*,1,,,0,27743
2,8,-,(,4,+,2,),1,27744
7,(,5,*,1,),+,2,1,27745
42,1,*,6,*,7,,,0,27746
39,3,*,(,5,+,8,),1,27747
42,1,*,(,7,*,6,),1,27748
216,6,*,(,6,*,6,),1,27749
-10,2,*,(,2,-,7,),1,27750
1,(,4,*,0,),+,1,1,27751
4,5,+,8,-,9,,,0,27752
576,8,*,(,8,*,9,),1,27753
180,(,5,*,9,),*,4,1,27754
8,8,-,(,3,-,3,),1,27755
8,2,*,(,1,+,3,),1,27756
168,4,*,(,6,*,7,),1,27757
48,2,*,(,8,*,3,),1,27758
-4,0,*,8,-,4,,,0,27759
-2,(,4,-,3,),-,3,1,27760
-7,9,-,7,-,9,,,0,27761
19,9,*,2,+,1,,,0,27762
12,5,-,2,+,9,,,0,27763
13,(,1,+,7,),+,5,1,27764
20,(,8,*,3,),-,4,1,27765
-1,6,-,7,-,0,,,0,27766
21,3,*,(,8,-,1,),1,27767
-12,4,-,(,9,+,7,),1,27768
0,0,*,2,*,7,,,0,27769
17,5,*,3,+,2,,,0,27770
-47,1,-,8,*,6,,,0,27771
3,1,*,(,1,*,3,),1,27772
56,(,1,*,8,),*,7,1,27773
52,8,*,6,+,4,,,0,27774
9,8,*,0,+,9,,,0,27775
16,(,5,*,4,),-,4,1,27776
-1,0,-,4,+,3,,,0,27777
-48,6,*,(,1,-,9,),1,27778
1,0,+,0,+,1,,,0,27779
0,0,*,(,2,+,4,),1,27780
21,7,*,(,8,-,5,),1,27781
20,(,2,*,8,),+,4,1,27782
-2,(,3,-,8,),+,3,1,27783
68,5,+,(,7,*,9,),1,27784
-5,0,-,5,+,0,,,0,27785
-17,3,-,4,*,5,,,0,27786
6,4,+,0,+,2,,,0,27787
-2,(,2,+,5,),-,9,1,27788
12,(,6,*,3,),-,6,1,27789
36,(,1,*,6,),*,6,1,27790
11,8,+,9,-,6,,,0,27791
2,(,8,+,2,),-,8,1,27792
0,(,5,-,9,),+,4,1,27793
20,(,4,+,8,),+,8,1,27794
1,(,3,+,7,),-,9,1,27795
28,3,+,(,5,*,5,),1,27796
7,(,5,-,2,),+,4,1,27797
-19,5,-,(,8,*,3,),1,27798
-1,(,5,-,8,),+,2,1,27799
27,4,*,5,+,7,,,0,27800
7,(,0,*,9,),+,7,1,27801
-7,2,-,(,3,*,3,),1,27802
2,0,+,9,-,7,,,0,27803
2,1,-,(,4,-,5,),1,27804
1,0,-,(,3,-,4,),1,27805
37,7,+,(,5,*,6,),1,27806
-2,1,*,2,-,4,,,0,27807
2,5,-,9,+,6,,,0,27808
-2,(,3,+,4,),-,9,1,27809
48,8,*,(,3,*,2,),1,27810
7,(,6,+,1,),+,0,1,27811
-3,(,5,-,4,),-,4,1,27812
14,(,8,+,1,),+,5,1,27813
2,(,7,+,1,),-,6,1,27814
98,(,7,*,2,),*,7,1,27815
-11,7,-,(,9,+,9,),1,27816
8,6,-,4,+,6,,,0,27817
18,(,6,*,3,),*,1,1,27818
0,1,-,5,+,4,,,0,27819
54,9,+,9,*,5,,,0,27820
-7,2,-,1,*,9,,,0,27821
-21,3,*,(,2,-,9,),1,27822
-8,(,7,*,0,),-,8,1,27823
0,(,9,*,0,),*,7,1,27824
1,(,5,-,0,),-,4,1,27825
105,5,*,7,*,3,,,0,27826
-39,9,-,(,8,*,6,),1,27827
-3,1,-,(,9,-,5,),1,27828
63,9,*,(,6,+,1,),1,27829
12,4,*,(,5,-,2,),1,27830
-5,(,0,-,5,),-,0,1,27831
-1,7,+,1,-,9,,,0,27832
2,(,1,*,1,),+,1,1,27833
5,8,-,(,3,+,0,),1,27834
567,9,*,7,*,9,,,0,27835
11,8,+,(,3,*,1,),1,27836
1,(,8,+,1,),-,8,1,27837
14,(,8,*,1,),+,6,1,27838
3,3,+,8,*,0,,,0,27839
17,6,+,(,8,+,3,),1,27840
46,9,*,5,+,1,,,0,27841
-54,0,-,(,9,*,6,),1,27842
-30,2,-,(,4,*,8,),1,27843
6,3,*,(,7,-,5,),1,27844
16,7,+,9,+,0,,,0,27845
-10,(,5,-,7,),*,5,1,27846
18,(,6,*,4,),-,6,1,27847
20,8,+,(,3,*,4,),1,27848
7,(,1,-,1,),+,7,1,27849
-3,5,+,0,-,8,,,0,27850
-2,1,+,3,-,6,,,0,27851
432,9,*,8,*,6,,,0,27852
4,(,4,+,2,),-,2,1,27853
0,4,*,(,0,-,0,),1,27854
-3,0,*,9,-,3,,,0,27855
-5,(,4,-,5,),*,5,1,27856
16,5,+,3,+,8,,,0,27857
56,(,2,*,7,),*,4,1,27858
6,6,*,(,2,-,1,),1,27859
-4,0,-,2,*,2,,,0,27860
45,1,*,(,9,*,5,),1,27861
11,8,+,2,+,1,,,0,27862
18,6,*,3,*,1,,,0,27863
0,0,*,(,8,+,5,),1,27864
9,9,*,(,9,-,8,),1,27865
12,(,7,*,1,),+,5,1,27866
-2,0,+,(,0,-,2,),1,27867
-10,2,*,(,3,-,8,),1,27868
50,5,*,(,5,*,2,),1,27869
25,(,3,*,6,),+,7,1,27870
59,(,8,*,8,),-,5,1,27871
9,0,+,3,*,3,,,0,27872
-5,2,-,7,+,0,,,0,27873
40,4,*,(,8,+,2,),1,27874
10,6,+,(,4,-,0,),1,27875
-24,(,0,-,4,),*,6,1,27876
8,(,8,-,9,),+,9,1,27877
3,3,+,(,9,-,9,),1,27878
8,2,+,(,9,-,3,),1,27879
60,9,*,7,-,3,,,0,27880
96,3,*,(,8,*,4,),1,27881
28,6,*,5,-,2,,,0,27882
0,1,*,(,0,*,0,),1,27883
45,0,+,(,9,*,5,),1,27884
-4,(,0,*,8,),-,4,1,27885
-14,7,-,7,*,3,,,0,27886
15,(,6,+,3,),+,6,1,27887
-5,2,-,(,3,+,4,),1,27888
90,5,*,(,9,+,9,),1,27889
0,(,0,+,0,),-,0,1,27890
-54,9,-,9,*,7,,,0,27891
38,8,+,(,6,*,5,),1,27892
64,1,+,(,9,*,7,),1,27893
-4,(,2,+,3,),-,9,1,27894
-4,6,-,7,-,3,,,0,27895
5,5,-,(,0,-,0,),1,27896
7,7,*,(,4,-,3,),1,27897
15,(,5,-,2,),*,5,1,27898
7,4,*,2,-,1,,,0,27899
-1,1,+,(,0,-,2,),1,27900
7,(,8,-,5,),+,4,1,27901
3,(,1,*,3,),-,0,1,27902
-9,5,-,(,7,*,2,),1,27903
5,0,+,1,*,5,,,0,27904
-41,1,-,(,7,*,6,),1,27905
12,(,7,-,2,),+,7,1,27906
18,(,7,+,2,),*,2,1,27907
126,9,*,7,*,2,,,0,27908
6,1,*,1,*,6,,,0,27909
486,(,6,*,9,),*,9,1,27910
17,8,+,(,5,+,4,),1,27911
-15,(,0,-,5,),*,3,1,27912
12,(,6,+,0,),*,2,1,27913
-14,7,*,(,2,-,4,),1,27914
-7,5,-,2,*,6,,,0,27915
10,(,7,-,3,),+,6,1,27916
4,2,*,1,+,2,,,0,27917
0,2,*,0,*,0,,,0,27918
0,0,*,(,1,*,7,),1,27919
96,(,8,+,8,),*,6,1,27920
2,2,+,(,0,*,6,),1,27921
11,1,+,(,4,+,6,),1,27922
84,(,7,*,6,),*,2,1,27923
13,7,-,(,3,-,9,),1,27924
91,(,8,+,5,),*,7,1,27925
98,(,5,+,9,),*,7,1,27926
0,9,*,1,*,0,,,0,27927
-8,9,-,(,8,+,9,),1,27928
15,5,*,(,3,*,1,),1,27929
-9,(,3,*,0,),-,9,1,27930
-6,4,-,(,2,*,5,),1,27931
-7,2,-,(,2,+,7,),1,27932
10,5,*,(,2,-,0,),1,27933
-6,6,-,(,4,*,3,),1,27934
60,4,*,(,5,*,3,),1,27935
-7,4,-,(,4,+,7,),1,27936
63,(,0,+,9,),*,7,1,27937
9,9,+,(,2,*,0,),1,27938
15,(,7,-,4,),*,5,1,27939
20,(,2,*,9,),+,2,1,27940
0,(,0,*,3,),*,4,1,27941
42,3,*,(,7,+,7,),1,27942
-15,(,0,-,8,),-,7,1,27943
11,4,+,1,*,7,,,0,27944
2,2,-,(,2,-,2,),1,27945
48,0,+,(,8,*,6,),1,27946
15,8,+,7,*,1,,,0,27947
59,3,+,7,*,8,,,0,27948
31,1,+,(,6,*,5,),1,27949
23,8,+,3,*,5,,,0,27950
20,2,*,(,2,*,5,),1,27951
7,5,+,(,3,-,1,),1,27952
13,5,+,1,+,7,,,0,27953
4,(,9,+,2,),-,7,1,27954
10,(,1,+,6,),+,3,1,27955
4,3,-,(,8,-,9,),1,27956
72,(,4,+,8,),*,6,1,27957
7,9,+,(,2,-,4,),1,27958
1,1,+,(,0,*,4,),1,27959
3,(,4,-,6,),+,5,1,27960
7,(,5,+,3,),-,1,1,27961
-5,7,-,4,*,3,,,0,27962
27,9,*,3,-,0,,,0,27963
189,9,*,(,3,*,7,),1,27964
84,(,6,+,8,),*,6,1,27965
1,1,-,0,*,9,,,0,27966
10,2,+,(,8,-,0,),1,27967
140,(,5,*,7,),*,4,1,27968
12,8,+,2,*,2,,,0,27969
2,9,+,2,-,9,,,0,27970
39,(,6,*,8,),-,9,1,27971
2,8,-,(,7,-,1,),1,27972
